data_week,sfdc_name_l3,am_name_l3,country,service_type_l3,month,customer_type,revenue,gross_profit,data_type,cohort
2025-09-29,sf1,am1,FR,Staffing,2024-01-01,EB,144535.83,29144.96,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-02-01,EB,283525.39,6341.91,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-03-01,EB,387533.97,7688.09,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-04-01,EB,141531.52,34552.28,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-05-01,EB,427703.51,37506.43,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-06-01,EB,150038.09,37882.64,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-07-01,EB,52700.38,16177.61,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-08-01,EB,442890.5,37472.85,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-09-01,EB,167386.36,33523.17,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-10-01,EB,243366.74,10908.21,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-11-01,EB,264577.95,12264.93,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2024-12-01,EB,154256.28,18910.73,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-01-01,EB,209738.4,6938.97,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-02-01,EB,434416.22,6216.81,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-03-01,EB,167012.64,22417.43,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-04-01,EB,225311.68,34296.98,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-05-01,EB,231106.04,25533.97,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-06-01,EB,190221.3,38619.21,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-07-01,EB,99656.75,26126.7,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-08-01,EB,467976.9,35915.08,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-09-01,EB,492306.81,16221.25,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-10-01,EB,110004.47,13957.62,actuals,2022
2025-09-29,sf1,am1,FR,Staffing,2025-11-01,EB,83693.27,15410.49,forecast,2022
2025-09-29,sf1,am1,FR,Staffing,2025-12-01,EB,356652.15,26355.0,forecast,2022
2025-09-29,sf2,am3,BE,Staffing,2024-01-01,NE,455914.24,17209.55,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-02-01,NE,166419.99,21533.24,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-03-01,NE,336141.62,10483.3,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-04-01,NE,145981.53,38717.12,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-05-01,NE,168125.29,8505.07,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-06-01,NE,144241.6,16204.33,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-07-01,NE,246861.42,30799.88,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-08-01,NE,220576.11,23731.37,actuals,2025
2025-09-29,sf2,am3,BE,Staffing,2024-09-01,NE,387202.69,34166.45,actuals,2025
